Palabra Original,Traducción
avatar,avatar
category spanning,category spanning
self-claims,self-claims
industry evolution,industry evolution
créditos en la obra audiovisual,credits in the audiovisual work
microelectrónica,microelectronics
sensores inteligentes. aceleración hardware,smart sensors. hardware acceleration
variables fisiológicas,physiological variables
chips flexibles,chips flexibles
origen de la colaboración:,origin of collaboration:
operaciones garantizadas,guaranteed operations
impulse transfer thruster,impulse transfer thruster
pesos,pesos
generación eléctrica modelado y simulación certificación,electrical generation modeling and simulation certification
fuentes del derecho,sources of law
recolección de datos,data collection
agile software,agile software
aircraft trajectory planning,aircraft trajectory planning
injuve,injuve
energía solar termoeléctrica,solar thermal energy
baja dosis,dose steel
general equilibrium,general equilibrium
transferencia conocimiento,knowledge transfer
meritocracia,meritocracy
industrial data,industrial data
memoria democrática,democratic memory
instrumentación biomédica,biomedical instrumentation
compraventa,buy and sell
game theory,game theory
experiencia de usuario,user experience
técnicas de reduccion de consumo,consumption reduction techniques
electrolizadores,electrolyzers
fertilizantes,fertilizers
análisis bibliométrico revista científica automática y robótica,bibliometric analysis automatic and robotics scientific journal
trabjo en la agricultura,work in agriculture
ecuaciones-estocasticas,stochastic-equations
espectroscopía,spectroscopy
minorias religiosas,religious minorities
derecho a la salud,right to health
paso montaña,mountain pass
long-term care,long-term care
saving and labor supply,saving and labor supply
campañas marketing,marketing campaigns
smartgrid,smartgrid
discapacidad visual,visual disability
análises de múltiples variables,multiple variable analysis
aprendizaje contextual,contextual learning
relays,relays
congresos,congresses
pet/ct,pet/ct
legal professionals,legal professionals
protecció,protection
producto de ahorro,savings product
nanobiosensor,nanobiosensor
mecanica del medio continuo generalizado,generalized continuum mechanics
identificación,ID
masa puntual,puntual period
masa distribuida,distributed mass
ficciones televisivas,television fictions
refrigeración renovable,renewable cooling
autobús,bus
switching,switching
economía monetaria,monetary economy
aprendizaje de máquinas,machine learning
resistencia mecánica,mechanical strength
arquitectura de control para navegación autónoma,control architecture for autonomous navigation
compuestos orgánicos volátiles,volatile organic compounds
cern,cern
videojuego,videogame
moviles,mobiles
apps,apps
audiovisual,audiovisual
avances cientificos,Scientific advances
alto rendimiento,high performance
salida dual,dual output
entrada,Prohibited
manipulacion móviles,mobile manipulation
pib,begin
autonomia,autonomy
cementos de fosfato,phosphate cements
mlps,mlps
finitos,finite
mef,mef
metals,metals
de elección discreta,discreet choice
variables endógenas,endogenous variables
migración,migration
selección muestral,sample selection
variables instrumentales.,instrumental variables.
térmico,thermal
relación laboral,employment relationship
orientación emprendedora,entrepreneurial orientation
materiales activados alcalinamente,alkaline activated materials
c++14,c++14
spatial data,spatial data
análisis contextual,contextual analysis
– machine learning,– machine learning
statistical data processing and applications using signal processing (e.g. speech,statistical data processing and applications using signal processing (e.g. speech
image,image
video),video)
papila dérmica,dermal papilla
crecimiento del pelo,hair growth
cultivos organotípicos de piel,organotypic skin cultures
ratones humanizados,humanized mice
bioimpresión 3d,3d bioprinting
alopecia,alopecia
hard materials,hard materials
mobile networks o-ran energy-efficiency,mobile networks o-ran energy-efficiency
efficiency,efficiency
integración subtitulado lengua catalana,Catalan language subtitling integration
funcionabilidad,functionality
redes activas,active networks
load estimation,load estimation
stress analysis,stress analysis
interoperabilidad de herramientas,tool interoperability
continuidad digital,digital continuity
fomento de la igualdad de acceso a estudios superiores,promoting equal access to higher education
procesamiento lenguaje natural,natural language processing
adhesión,accession
microelectronica,microelectronica
certificación,certification
bacterias,bacteria
farm-to-fork quality assessment,farm-to-fork quality assessment
miedo,fear
statistical data processing,statistical data processing
nuevas empresas,new companies
sistema de salud,healthcare system
riesgo bancario,banking risk
energía solar de concentración,concentrating solar energy
electric propulsion,electric propulsion
social policies,social policies
toma de decisiones del consumidor,consumer decision making
pdr,pdr
stock exchange volume,stock exchange volume
pirometría,pyrometer
anomalous plasma transport,anomalous plasma transport
subtitulado,Subtitled
consumo de vida,consumption of life
acústica,acoustics
información pública imperfecta,imperfect public information
finance,finance
generación,generation
computación en la periferia de la red (mec),computing at the edge of the network (mec)
argumentacion juridica,legal argument
regularización,regularization
deep learning,deep learning
smell,smell
cuadros de mando,dashboards
recubrimientos sin cr(vi),cr(vi)-free coatings
data-driven networking,data-driven networking
valoración de activos,asset valuation
arquitectura de distribución de potencia eléctrica,electrical power distribution architecture
reconocimiento de habla continua,continuous speech recognition
subtitulado lengua catalana,Catalan language subtitles
storyboard,storyboard
valor empresarial,business value
relaciones teatro y cine,theater and film relations
materia granular,materia granular
colaborative robots,colaborative robots
monte carlo,Montecarlo
pequeñas empresas,Small business
aleaciones ods,ods alloys
transportes,transport
filtro,filter
digital infrastructure,digital infrastructure
innovative data connecting,innovative data connecting
mec,mec
transposición,transposition
usuarios,users
ejes fisurados,cracked axles
control de acceso,access control
normativa comparada,comparative normative
comunicaciones por luz visible,visible light communications
atomización,atomization
pulvimetarlugia,powder metallurgy
emisiones contaminantes,polluting emissions
oferta de trabajo,job offer
econometría de series temporales,time series econometrics
planificación de tareas,task planning
g/mpls,g/mpls
interoperabilidad semántica,semantic interoperability
carga electrónica,electronic load
subgrupos de sylow,subgrupos de sylow
estados financieros,financial statements
data assimilation,data assimilation
manipulación diestra,dexterous manipulation
movilidad sostenible,sustainable mobility
economía de la energía,energy economy
arte,until
